,Country Name,Happiness Rank_x,Happiness Score_x,Happiness Rank_y,Happiness Score_y,GDP(billions) 2015,"GDP, 2016 (billions)",Total Population 2015,Total Population 2016,GDP/Pop 2015,GDP/Pop 2016,Unnamed: 0,GDI 2015,GDI 2016,GDI/Pop 2015,GDI/Pop 2016,CPI 2015,CPI 2016,CPI 2015,CPI 2016,CPI 2015,CPI 2016,CPI 2015,CPI 2016,CPI 2015,CPI 2016
49,Slovenia,55,5.848,63,5.768,43.07,44.71,2063.53,2065.04,20.872000891675913,21.65091233099601,220,37173604836.0509,38613271822.4608,18014569.614229452,18698558.779714096,100.95831190000001,102.4441259,100.95831190000001,102.4441259,100.95831190000001,102.4441259,100.95831190000001,102.4441259,100.95831190000001,102.4441259
50,Lithuania,56,5.832999999999999,60,5.813,41.51,42.77,2904.91,2868.23,14.289599333542174,14.911635398834822,141,34322316552.2081,35838265996.6339,11815277.08335477,12494906.613707375,116.67875,119.97108329999999,116.67875,119.97108329999999,116.67875,119.97108329999999,116.67875,119.97108329999999,116.67875,119.97108329999999
51,Nicaragua,57,5.827999999999999,48,5.992000000000001,12.75,13.23,6082.04,6149.93,2.096336097756674,2.1512439978991633,173,181368970299.545,190785285616.62305,29820417.211913276,31022350.76116688,239.8151583,243.876225,239.8151583,243.876225,239.8151583,243.876225,239.8151583,243.876225,239.8151583,243.876225
52,Peru,58,5.824,64,5.742999999999999,189.0,192.0,31376.67,31773.84,6.023583764625118,6.042706830524733,184,484178691226.498,502136316014.093,15431168.802377626,15803450.763712948,123.10833329999998,129.2,123.10833329999998,129.2,123.10833329999998,129.2,123.10833329999998,129.2,123.10833329999998,129.2
53,Belarus,59,5.813,61,5.8020000000000005,56.45,47.41,9489.62,9501.53,5.94860489671873,4.989722707816529,23,2495319000.79965,2360833409.07503,262952.46814937267,248468.7633544313,120.42166670000002,124.6675,120.42166670000002,124.6675,120.42166670000002,124.6675,120.42166670000002,124.6675,120.42166670000002,124.6675
54,Poland,60,5.791,57,5.835,477.0,471.0,37986.41,37970.09,12.557122402459195,12.404500489727573,188,1697000075221.99,1753701360853.08,44673873.50428718,46186389.36207631,100.50555329999999,99.95786083,100.50555329999999,99.95786083,100.50555329999999,99.95786083,100.50555329999999,99.95786083,100.50555329999999,99.95786083
55,Malaysia,61,5.77,47,6.005,296.0,297.0,30723.16,31187.26,9.634425625489044,9.52311937630943,167,1054869492819.49,1091157579883.11,34334667.81475245,34987285.830275245,100.325,100.33333329999999,100.325,100.33333329999999,100.325,100.33333329999999,100.325,100.33333329999999,100.325,100.33333329999999
56,Croatia,62,5.7589999999999995,74,5.4879999999999995,48.92,50.71,4203.6,4174.35,11.6376439242554,12.147999089678633,97,322782037831.359,334676520387.591,76787048.6800264,80174523.0724762,119.925,120.7,119.925,120.7,119.925,120.7,119.925,120.7,119.925,120.7
57,Libya,63,5.754,67,5.615,,,6234.96,6293.25,,,130,,,,,135.1,135.6333333,135.1,135.6333333,135.1,135.6333333,135.1,135.6333333,135.1,135.6333333
58,Jamaica,65,5.709,73,5.51,14.19,14.06,2871.93,2881.36,4.94092822596651,4.87964016991976,115,814560149071.727,836306245603.067,283628134.7636353,290247051.9487558,108.25,109.30833329999999,108.25,109.30833329999999,108.25,109.30833329999999,108.25,109.30833329999999,108.25,109.30833329999999
59,Cyprus,67,5.689,69,5.546,19.68,20.05,1160.98,1170.12,16.95119640303881,17.13499470139815,51,15628351428.672,16114852560.4736,13461344.233898949,13771965.747507608,100.0,99.88333333,100.0,99.88333333,100.0,99.88333333,100.0,99.88333333,100.0,99.88333333
60,Algeria,68,5.605,38,6.355,166.0,159.0,39871.53,40606.05,4.163371709086659,3.9156726645413675,58,6685396358528.34,6645633467691.55,167673434.1152281,163661165.45912614,192.02231730000003,233.7125,192.02231730000003,233.7125,192.02231730000003,233.7125,192.02231730000003,233.7125,192.02231730000003,233.7125
61,Kosovo,69,5.5889999999999995,77,5.401,6.44,6.65,1801.8,1816.2,3.5742035742035747,3.661491025217487,259,4896604308.3137,5125430991.30321,2717618.1087322123,2822063.093989214,114.8047211,101.1083333,114.8047211,101.1083333,114.8047211,101.1083333,114.8047211,101.1083333,114.8047211,101.1083333
62,Turkmenistan,70,5.547999999999999,65,5.6579999999999995,35.8,36.18,5565.28,5662.54,6.432740131673518,6.389358838966259,233,,,,,137.30833330000002,141.7,137.30833330000002,141.7,137.30833330000002,141.7,137.30833330000002,141.7,137.30833330000002,141.7
63,Mauritius,71,5.477,66,5.648,11.69,12.17,1262.6,1263.47,9.258672580389673,9.632203376415744,165,305347277734.546,324957412978.933,241840074.23930463,257194403.491126,117.79416670000002,141.1816667,117.79416670000002,141.1816667,117.79416670000002,141.1816667,117.79416670000002,141.1816667,117.79416670000002,141.1816667
